time, name, func, shared_mem, local_mem, num_regs, iterations, total, blocksize, blocksper, device, args_blocksize, args_blocksper, args_dump_sass, args_dump_src, args_gpu, args_iterations, args_total, args_skip_correct, args_debug, args_modulus, args_modbits, args_pow, args_reduction_method, args_app, args_det, args_epilogue, args_btpi, args_m, args_variation, args_stride, args_reduction_method_name, args_variation_name, args_app_name, args_tpi, args_precision, args_moduli1, args_moduli2, args_limbs, args_moduli_in, args_mpt1, args_mpt2, args_shared_size, args_mult_class, args_resultshape, correct
1.8882559537887573, latencygpu, MULT_APP, 32, 0, 31, 100, 4, 32, 1, NVIDIA GeForce RTX 3090 : 1695.000 Mhz   (Ordinal 0);82 SMs enabled. Compute Capability sm_86;FreeMem: 23.906MB   TotalMem: 24.251MB   32-bit pointers.;Mem Clock: 9751.000 Mhz x 384 bits   (936.1 GB/s);ECC Disabled;, 32, 1, False, False, 0, 100, 4, False, 0, 9430465058516768599, 64, 64, 2, 0, False, 1, 8, 1, 4, 1, Mont32, MontRNSReduceVec, bench_modmult2, 8, 64, 3, 3, 8, 11, 1, 1, 32, MontRNSReduceVec<3. 3. 1. 1. 8. 1. Mont32>, (4. 8), True
2.0193281173706055, latencygpu, MULT_APP, 64, 0, 31, 100, 4, 32, 1, NVIDIA GeForce RTX 3090 : 1695.000 Mhz   (Ordinal 0);82 SMs enabled. Compute Capability sm_86;FreeMem: 23.906MB   TotalMem: 24.251MB   32-bit pointers.;Mem Clock: 9751.000 Mhz x 384 bits   (936.1 GB/s);ECC Disabled;, 32, 1, False, False, 0, 100, 4, False, 0, 17350892922417843839, 64, 64, 2, 0, False, 1, 8, 1, 4, 2, Mont32, MontRNSReduceVec, bench_modmult2, 16, 64, 3, 3, 8, 19, 1, 1, 64, MontRNSReduceVec<3. 3. 1. 1. 16. 2. Mont32>, (4. 8), True
2.1985280513763428, latencygpu, MULT_APP, 128, 0, 29, 100, 4, 32, 1, NVIDIA GeForce RTX 3090 : 1695.000 Mhz   (Ordinal 0);82 SMs enabled. Compute Capability sm_86;FreeMem: 23.906MB   TotalMem: 24.251MB   32-bit pointers.;Mem Clock: 9751.000 Mhz x 384 bits   (936.1 GB/s);ECC Disabled;, 32, 1, False, False, 0, 100, 4, False, 0, 12218811255913757609, 64, 64, 2, 0, False, 1, 8, 1, 4, 4, Mont32, MontRNSReduceVec, bench_modmult2, 32, 64, 3, 3, 8, 35, 1, 1, 128, MontRNSReduceVec<3. 3. 1. 1. 32. 4. Mont32>, (4. 8), True
2.792448043823242, latencygpu, MULT_APP, 32, 0, 34, 100, 4, 32, 1, NVIDIA GeForce RTX 3090 : 1695.000 Mhz   (Ordinal 0);82 SMs enabled. Compute Capability sm_86;FreeMem: 23.906MB   TotalMem: 24.251MB   32-bit pointers.;Mem Clock: 9751.000 Mhz x 384 bits   (936.1 GB/s);ECC Disabled;, 32, 1, False, False, 0, 100, 4, False, 0, 73015397046560822769147759883, 96, 96, 2, 0, False, 1, 8, 1, 4, 1, Mont32, MontRNSReduceVec, bench_modmult2, 8, 64, 4, 4, 8, 12, 1, 1, 32, MontRNSReduceVec<4. 4. 1. 1. 8. 1. Mont32>, (4. 8), True
2.905087947845459, latencygpu, MULT_APP, 64, 0, 31, 100, 4, 32, 1, NVIDIA GeForce RTX 3090 : 1695.000 Mhz   (Ordinal 0);82 SMs enabled. Compute Capability sm_86;FreeMem: 23.906MB   TotalMem: 24.251MB   32-bit pointers.;Mem Clock: 9751.000 Mhz x 384 bits   (936.1 GB/s);ECC Disabled;, 32, 1, False, False, 0, 100, 4, False, 0, 79005495690290611679290784099, 96, 96, 2, 0, False, 1, 8, 1, 4, 2, Mont32, MontRNSReduceVec, bench_modmult2, 16, 64, 4, 4, 8, 20, 1, 1, 64, MontRNSReduceVec<4. 4. 1. 1. 16. 2. Mont32>, (4. 8), True
3.122175931930542, latencygpu, MULT_APP, 128, 0, 29, 100, 4, 32, 1, NVIDIA GeForce RTX 3090 : 1695.000 Mhz   (Ordinal 0);82 SMs enabled. Compute Capability sm_86;FreeMem: 23.906MB   TotalMem: 24.251MB   32-bit pointers.;Mem Clock: 9751.000 Mhz x 384 bits   (936.1 GB/s);ECC Disabled;, 32, 1, False, False, 0, 100, 4, False, 0, 65864289038660292287904666767, 96, 96, 2, 0, False, 1, 8, 1, 4, 4, Mont32, MontRNSReduceVec, bench_modmult2, 32, 64, 4, 4, 8, 36, 1, 1, 128, MontRNSReduceVec<4. 4. 1. 1. 32. 4. Mont32>, (4. 8), True
3.796992063522339, latencygpu, MULT_APP, 32, 0, 36, 100, 4, 32, 1, NVIDIA GeForce RTX 3090 : 1695.000 Mhz   (Ordinal 0);82 SMs enabled. Compute Capability sm_86;FreeMem: 23.906MB   TotalMem: 24.251MB   32-bit pointers.;Mem Clock: 9751.000 Mhz x 384 bits   (936.1 GB/s);ECC Disabled;, 32, 1, False, False, 0, 100, 4, False, 0, 331215858918667498634116146006466585163, 128, 128, 2, 0, False, 1, 8, 1, 4, 1, Mont32, MontRNSReduceVec, bench_modmult2, 8, 64, 5, 5, 8, 13, 1, 1, 32, MontRNSReduceVec<5. 5. 1. 1. 8. 1. Mont32>, (4. 8), True
3.9485440254211426, latencygpu, MULT_APP, 64, 0, 35, 100, 4, 32, 1, NVIDIA GeForce RTX 3090 : 1695.000 Mhz   (Ordinal 0);82 SMs enabled. Compute Capability sm_86;FreeMem: 23.906MB   TotalMem: 24.251MB   32-bit pointers.;Mem Clock: 9751.000 Mhz x 384 bits   (936.1 GB/s);ECC Disabled;, 32, 1, False, False, 0, 100, 4, False, 0, 181028292334709955072405051156280764011, 128, 128, 2, 0, False, 1, 8, 1, 4, 2, Mont32, MontRNSReduceVec, bench_modmult2, 16, 64, 5, 5, 8, 21, 1, 1, 64, MontRNSReduceVec<5. 5. 1. 1. 16. 2. Mont32>, (4. 8), True
4.271103858947754, latencygpu, MULT_APP, 128, 0, 33, 100, 4, 32, 1, NVIDIA GeForce RTX 3090 : 1695.000 Mhz   (Ordinal 0);82 SMs enabled. Compute Capability sm_86;FreeMem: 23.906MB   TotalMem: 24.251MB   32-bit pointers.;Mem Clock: 9751.000 Mhz x 384 bits   (936.1 GB/s);ECC Disabled;, 32, 1, False, False, 0, 100, 4, False, 0, 326496751957685974861907075528135148023, 128, 128, 2, 0, False, 1, 8, 1, 4, 4, Mont32, MontRNSReduceVec, bench_modmult2, 32, 64, 5, 5, 8, 37, 1, 1, 128, MontRNSReduceVec<5. 5. 1. 1. 32. 4. Mont32>, (4. 8), True
5.009407997131348, latencygpu, MULT_APP, 32, 0, 40, 100, 4, 32, 1, NVIDIA GeForce RTX 3090 : 1695.000 Mhz   (Ordinal 0);82 SMs enabled. Compute Capability sm_86;FreeMem: 23.906MB   TotalMem: 24.251MB   32-bit pointers.;Mem Clock: 9751.000 Mhz x 384 bits   (936.1 GB/s);ECC Disabled;, 32, 1, False, False, 0, 100, 4, False, 0, 1268446482527387543332920510502741911121380886327, 160, 160, 2, 0, False, 1, 8, 1, 4, 1, Mont32, MontRNSReduceVec, bench_modmult2, 8, 64, 6, 6, 8, 14, 1, 1, 32, MontRNSReduceVec<6. 6. 1. 1. 8. 1. Mont32>, (4. 8), True
4.87116813659668, latencygpu, MULT_APP, 64, 0, 35, 100, 4, 32, 1, NVIDIA GeForce RTX 3090 : 1695.000 Mhz   (Ordinal 0);82 SMs enabled. Compute Capability sm_86;FreeMem: 23.906MB   TotalMem: 24.251MB   32-bit pointers.;Mem Clock: 9751.000 Mhz x 384 bits   (936.1 GB/s);ECC Disabled;, 32, 1, False, False, 0, 100, 4, False, 0, 1349437841365981154886392712775142262846625629781, 160, 160, 2, 0, False, 1, 8, 1, 4, 2, Mont32, MontRNSReduceVec, bench_modmult2, 16, 64, 6, 6, 8, 22, 1, 1, 64, MontRNSReduceVec<6. 6. 1. 1. 16. 2. Mont32>, (4. 8), True
5.2848639488220215, latencygpu, MULT_APP, 128, 0, 33, 100, 4, 32, 1, NVIDIA GeForce RTX 3090 : 1695.000 Mhz   (Ordinal 0);82 SMs enabled. Compute Capability sm_86;FreeMem: 23.906MB   TotalMem: 24.251MB   32-bit pointers.;Mem Clock: 9751.000 Mhz x 384 bits   (936.1 GB/s);ECC Disabled;, 32, 1, False, False, 0, 100, 4, False, 0, 1268663216199049496988512627339465925236141657759, 160, 160, 2, 0, False, 1, 8, 1, 4, 4, Mont32, MontRNSReduceVec, bench_modmult2, 32, 64, 6, 6, 8, 38, 1, 1, 128, MontRNSReduceVec<6. 6. 1. 1. 32. 4. Mont32>, (4. 8), True
6.040575981140137, latencygpu, MULT_APP, 64, 0, 46, 100, 2, 32, 1, NVIDIA GeForce RTX 3090 : 1695.000 Mhz   (Ordinal 0);82 SMs enabled. Compute Capability sm_86;FreeMem: 23.906MB   TotalMem: 24.251MB   32-bit pointers.;Mem Clock: 9751.000 Mhz x 384 bits   (936.1 GB/s);ECC Disabled;, 32, 1, False, False, 0, 100, 2, False, 0, 3656531209561971165550414742607206515111069495627570674487, 192, 192, 2, 0, False, 1, 16, 1, 4, 1, Mont32, MontRNSReduceVec, bench_modmult2, 16, 64, 7, 7, 16, 23, 1, 1, 64, MontRNSReduceVec<7. 7. 1. 1. 16. 1. Mont32>, (2. 16), True
6.122464179992676, latencygpu, MULT_APP, 128, 0, 40, 100, 2, 32, 1, NVIDIA GeForce RTX 3090 : 1695.000 Mhz   (Ordinal 0);82 SMs enabled. Compute Capability sm_86;FreeMem: 23.906MB   TotalMem: 24.251MB   32-bit pointers.;Mem Clock: 9751.000 Mhz x 384 bits   (936.1 GB/s);ECC Disabled;, 32, 1, False, False, 0, 100, 2, False, 0, 5290744955705527980932044429581258446322966381391359208543, 192, 192, 2, 0, False, 1, 16, 1, 4, 2, Mont32, MontRNSReduceVec, bench_modmult2, 32, 64, 7, 7, 16, 39, 1, 1, 128, MontRNSReduceVec<7. 7. 1. 1. 32. 2. Mont32>, (2. 16), True
7.937024116516113, latencygpu, MULT_APP, 256, 0, 35, 100, 4, 64, 1, NVIDIA GeForce RTX 3090 : 1695.000 Mhz   (Ordinal 0);82 SMs enabled. Compute Capability sm_86;FreeMem: 23.906MB   TotalMem: 24.251MB   32-bit pointers.;Mem Clock: 9751.000 Mhz x 384 bits   (936.1 GB/s);ECC Disabled;, 64, 1, False, False, 0, 100, 4, False, 0, 5863941375027651458839162392126418605863846435517950957887, 192, 192, 2, 0, False, 1, 16, 1, 4, 4, Mont32, MontRNSReduceVec, bench_modmult2, 64, 64, 7, 7, 16, 71, 1, 1, 256, MontRNSReduceVec<7. 7. 1. 1. 64. 4. Mont32>, (4. 16), True
7.483391761779785, latencygpu, MULT_APP, 64, 0, 46, 100, 2, 32, 1, NVIDIA GeForce RTX 3090 : 1695.000 Mhz   (Ordinal 0);82 SMs enabled. Compute Capability sm_86;FreeMem: 23.906MB   TotalMem: 24.251MB   32-bit pointers.;Mem Clock: 9751.000 Mhz x 384 bits   (936.1 GB/s);ECC Disabled;, 32, 1, False, False, 0, 100, 2, False, 0, 24527229847757075478502905789304795500177472477564483208914907694299, 224, 224, 2, 0, False, 1, 16, 1, 4, 1, Mont32, MontRNSReduceVec, bench_modmult2, 16, 64, 8, 8, 16, 24, 1, 1, 64, MontRNSReduceVec<8. 8. 1. 1. 16. 1. Mont32>, (2. 16), True
